country,essround,edition,idno,dweight,pspwght,pweight,anweight,prob,stratum,psu,netuse,netusoft,netustm,nwspol,nwsppol,nwsptot,pplfair,pplhlp,ppltrst,rdpol,rdtot,tvpol,tvtot,cptppol,cptppola,dmcntov,etapapl,lrscale,polcmpl,polintr,psppipl,psppipla,psppsgv,psppsgva,ptcpplt,stfdem,stfeco,stfgov,trstep,trstlgl,trstplc,trstplt,trstprl,trstprt,trstun,vote,loylead,year,netustm_cleaned,nwspol_cleaned,netuse_continuous,netusoft_continuous,nwsppol_continuous,nwsptot_continuous,rdpol_continuous,rdtot_continuous,tvpol_continuous,tvtot_continuous,cptppola_continuous,psppipla_continuous,psppsgva_continuous,stfdem_cleaned,stfeco_cleaned,stfgov_cleaned,trstep_cleaned,trstlgl_cleaned,trstplc_cleaned,trstplt_cleaned,trstprl_cleaned,trstprt_cleaned,trstun_cleaned
Belgium,2.0,3.6,416767387.0771396,1.0,0.9998981185698198,0.4835671000000001,,,,,3.3350225225225225,,,,31.09403153153153,1.1058558558558558,5.838400900900901,4.613175675675675,4.839527027027027,14.67117117117117,3.7882882882882885,3.4786036036036037,4.394707207207207,,,,,12.55518018018018,3.2027027027027026,2.6920045045045047,,,,,,7.407657657657658,6.429054054054054,6.784346846846847,9.258445945945946,5.204954954954955,5.92286036036036,4.7933558558558556,6.311373873873874,5.3108108108108105,9.091216216216216,1.2528153153153154,,2004.0,,,2.4804114994363022,,0.35591004184100417,0.37288613303269447,0.523481638418079,1.581447963800905,0.6675824175824175,2.0130912162162162,,,,5.563364055299539,5.087578706353749,4.740184757505774,4.982779097387174,4.830316742081448,5.783981951494642,4.239795918367347,4.681792073520965,4.286202964652223,5.095266272189349
Belgium,3.0,3.7,54389.16852057842,1.0,0.9999350671935483,0.4847208,,,,,3.8604004449388207,,,,27.577864293659623,1.10678531701891,5.848720800889877,4.672969966629588,4.982758620689655,11.594549499443826,3.5812013348164626,3.585094549499444,4.299221357063404,,,,,8.0,3.0834260289210236,2.6852057842046717,,,,,,6.496662958843159,6.82146829810901,6.509454949944383,7.959399332591769,5.264182424916574,6.073971078976641,4.732480533926585,6.28698553948832,4.82146829810901,7.853170189098999,1.3392658509454949,,2006.0,,,3.131674082313682,,0.38625703564727953,0.40656284760845385,0.5708168642951251,1.6377295492487478,0.7218732153055397,1.9580088987764181,,,,5.48704954954955,5.450226244343892,5.0390713476783695,5.14853195164076,4.894413407821229,5.937047353760446,4.360335195530726,4.994350282485875,4.3562639821029085,5.28300803673938
Belgium,4.0,4.6,54865.52840909091,1.0000101704545454,1.0000000051704545,0.50377333,0.5037733322215909,,,,4.5,,,,28.696590909090908,1.10625,6.0948863636363635,4.767045454545454,5.1789772727272725,13.822159090909091,3.3772727272727274,3.952840909090909,4.30625,,,,,8.67159090909091,3.2636363636363637,2.625,,,,,,6.303409090909091,5.098863636363636,4.828977272727273,7.1625,5.274431818181818,6.14375,4.4721590909090905,5.519886363636363,4.800568181818182,8.297727272727272,1.309090909090909,,2008.0,,,3.608119658119658,,0.38153998025666336,0.4107954545454545,0.5983520336605891,1.5379476975554291,0.709776864357017,1.9626420454545455,,,,5.173963133640553,4.290304073436603,3.9213095921883974,5.138031450203844,4.944095835710211,5.9635535307517085,4.042832667047401,4.57183908045977,3.989099254159495,5.296580188679245
Belgium,5.0,3.5,118444.12030516432,1.0,0.9999999971742958,0.52861917,0.5286191699491785,,,,4.863262910798122,,,,28.870305164319248,1.130281690140845,5.921948356807512,4.755868544600939,5.044600938967136,12.833333333333334,3.442488262910798,3.608568075117371,4.275821596244131,,,,,7.952464788732394,,2.666079812206573,,,,,,6.027582159624413,5.961267605633803,4.643192488262911,6.153169014084507,5.169014084507042,6.150234741784038,4.206572769953052,5.588615023474178,4.347417840375587,7.579225352112676,1.2658450704225352,,2010.0,,,4.198943661971831,,0.4363496932515337,0.423268779342723,0.6353797019162527,1.5902288732394365,0.6917622208811104,1.9449823943661972,,,,5.20154119739182,5.03620178041543,3.653206650831354,5.033313503866746,4.92525014714538,6.0058788947677835,3.860931054802593,4.461035098155859,3.853600944510035,5.298129149064574
Belgium,6.0,2.6,54212.53800856531,1.0,0.9999061431584583,0.49271858,0.4926723305085653,,,,,,,,,,5.820663811563169,4.709850107066381,5.0963597430406855,,,4.233940042826553,4.119914346895075,,,6.946466809421842,,7.751605995717345,,2.668629550321199,,,,,,6.474304068522484,5.231798715203426,5.75,6.264989293361884,5.100642398286938,6.208244111349036,4.579764453961456,5.596895074946467,4.4962526766595285,7.233940042826553,1.3394004282655245,,2012.0,,,,,,,,,0.6864571746384872,1.8665685224839401,,,,5.858683926645091,4.965091299677765,5.084187803561791,5.1172638436482085,4.92274678111588,6.120578778135048,4.310955961331901,5.019407008086254,4.227175080558539,5.478665207877461
Belgium,7.0,2.3,118873.1362351611,1.0,1.0000000059864331,0.52560085,0.5256008495025438,,,,,,,,,,5.816280384397965,4.631995477671,5.016393442622951,,,4.041831543244771,4.144149236856982,3.8818541548897683,,,3.8434143583945732,8.423403052572075,,2.6139061616732615,3.7733182589033354,,4.126625211984172,,4.035613340870548,5.585076314301865,5.043527416619559,5.379875635952516,5.773883550028264,5.160542679479932,6.0474844544940645,4.509892594686264,5.594120972300735,4.450537026568683,6.835500282645563,1.3018654607122668,,2014.0,,,,,,,,,0.667252489748096,1.8506787330316743,,,,5.30459444129325,4.808390022675737,4.53055396916048,4.830091533180778,5.019818799546999,6.001131221719457,4.136854060193072,4.841985168282943,4.131101021566402,5.222606689734717
Belgium,8.0,2.3,1594.3833522083805,1.0000000046659117,0.9999999999603625,0.53169733,0.5316973334371461,,,,,4.099093997734994,1750.1330690826728,61.85843714609287,,,5.869195922989808,4.714043035107588,5.246319365798414,,,,,,1.992638731596829,,,8.169875424688561,,2.597395243488109,,2.076443941109853,,2.195356738391846,,5.886749716874292,5.712344280860703,5.26330690826727,5.339750849377124,5.650056625141563,6.453001132502831,4.457531143827859,5.63929784824462,4.554926387315969,7.009626274065685,1.3612684031710078,,2016.0,185.66940298507464,61.85843714609287,,5.336353340883353,,,,,,,2.4745042492917846,2.6574914869466517,2.9389204545454546,5.46613545816733,5.196581196581197,4.6021689497716896,4.631639063392347,5.322342239909039,6.4067988668555245,4.125071063104037,4.7911899313501145,4.038176638176638,5.282822440717178
Belgium,9.0,3.2,35038.46293152236,1.0000000076570459,1.000000005359366,0.5356337,0.5356336860950763,0.0003415937468704018,111.32823995472552,2138.7657045840406,,4.22184493491794,1647.7068477645728,162.90379173740803,,,5.943406904357668,4.911714770797962,5.165251839275609,,,,,,2.0249009620826257,,,8.55631013016412,,2.663271080928127,,2.144878324844369,,2.267119411431805,,6.526315789473684,6.920769666100735,6.040181097906055,6.2314657611771365,5.623089983022071,6.588568194680249,4.825693265421618,5.529711375212224,4.874929258630447,7.935483870967742,1.3904923599320882,,2018.0,201.31632653061226,153.0169971671388,,5.545866364665912,,,,,,,2.5283607487237663,2.803977272727273,3.053337136337707,5.40447504302926,5.763490241102182,4.870264064293915,4.879746835443038,5.342419080068143,6.542468856172141,4.256980056980057,4.794974300399772,4.258836944127708,5.2859649122807015
Belgium,10.0,3.1999999999999997,18862.21476510067,1.0000000051081284,1.00000000049217,0.7180754,0.7180753913049962,0.00035225462365398954,176.8337061894109,2329.79269202088,,4.449664429530201,1382.1894108873976,191.84190902311707,,,6.243847874720358,5.415361670395227,5.574198359433259,,,,,,2.1476510067114094,,,8.94780014914243,,2.56972408650261,,2.2259507829977627,,2.319910514541387,,6.361670395227442,6.425055928411633,6.266219239373601,6.4220730797912005,5.9254287844891875,6.6055182699478,4.542878448918717,6.184190902311708,4.52199850857569,8.498135719612229,1.354958985831469,3.156599552572707,2020.0,108.70100273473109,56.01893939393939,,5.976882923191648,,,,,,,2.81624251497006,2.989130434782609,3.203828828828829,5.500376789751319,5.26928895612708,4.8399089529590285,4.872340425531915,5.432858214553638,6.423019431988042,4.113193403298351,4.819560272934041,4.021005251312828,5.307990690457719
Belgium,11.0,2.0,74799.99686323715,1.0000000817628607,1.0000000020514428,0.6150738,0.6150737786260978,0.0005377299176035132,155.78544542032623,1059.3946047678796,,4.537013801756587,1048.1850690087829,110.16875784190715,,,6.127979924717692,5.28732747804266,5.5959849435382685,,,,,,2.1097867001254706,,,9.250313676286073,,2.548306148055207,,2.2202007528230867,,2.276662484316186,,6.533877038895859,6.338143036386449,5.651191969887076,6.749686323713927,6.124215809284818,6.722082810539523,5.2452948557089085,6.227728983688833,5.3801756587202005,8.482434127979925,1.3839397741530741,3.2120451693851946,2023.0,254.20815450643778,86.68867924528301,,6.124843161856964,,,,,,,2.757537688442211,2.9532533164876815,3.0218908629441623,5.267515923566879,5.2269548633184995,4.445576066199873,4.730077120822622,5.444022770398482,6.619974874371859,4.172808132147395,4.684345047923323,3.94256541161455,5.361563517915309
